Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
DSNY,Department of Sanitation,BROOKLYN,,4412 8 AVENUE,Graffiti,Graffiti,
DOB,Department of Buildings,QUEENS,,195 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11423
DOT,Department of Transportation,MANHATTAN,,146 ST W,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,11215
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Underground,
DOB,Department of Buildings,BROOKLYN,,MADISON STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11216
DPR,Department of Parks and Recreation,BROOKLYN,Street,ATLANTIC AVENUE,New Tree Request,For One Address,11217
DPR,Department of Parks and Recreation,BROOKLYN,Street,DEKALB AVENUE,New Tree Request,For One Address,11217
DPR,Department of Parks and Recreation,BROOKLYN,Street,WASHINGTON AVENUE,New Tree Request,For One Address,11238
DPR,Department of Parks and Recreation,BROOKLYN,Street,CARLTON AVENUE,New Tree Request,For One Address,11205
DPR,Department of Parks and Recreation,BROOKLYN,Street,FULTON STREET,New Tree Request,For One Address,11201
DPR,Department of Parks and Recreation,BROOKLYN,Street,LAFAYETTE AVENUE,New Tree Request,For One Address,11217
DPR,Department of Parks and Recreation,BROOKLYN,Street,DEAN STREET,New Tree Request,For One Address,11217
DPR,Department of Parks and Recreation,BROOKLYN,Street,GREENE AVENUE,New Tree Request,For One Address,11238
DPR,Department of Parks and Recreation,BROOKLYN,Street,GRAND AVENUE,New Tree Request,For One Address,11238
DPR,Department of Parks and Recreation,BROOKLYN,Street,FULTON STREET,New Tree Request,For One Address,11238
DPR,Department of Parks and Recreation,BROOKLYN,Street,OLD FULTON STREET,New Tree Request,For One Address,11201
DPR,Department of Parks and Recreation,BROOKLYN,Street,WASHINGTON AVENUE,New Tree Request,For One Address,11238
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DSNY,BCC - Bronx,BRONX,Street,,Derelict Vehicles,14 Derelict Vehicles,10469
DOF,Refunds and Adjustments,Unspecified,N/A,,DOF Parking - Payment Issue,Waive Penalty for Late Payment,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BROOKLYN,,mrytle ave,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,,COMMERCE STREET AND VAN BRUNT STREET,Graffiti,Graffiti,
DOHMH,Department of Health and Mental Hygiene,BROOKLYN,Residential Building,FLATLANDS AVENUE,Smoking,Smoking Violation,11236
DSNY,Department of Sanitation,BROOKLYN,Comercial,EAST  102 STREET,Graffiti,Graffiti,11236
DOB,Department of Buildings,QUEENS,,136 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOB,Department of Buildings,QUEENS,,146 ROAD,Building/Use,Illegal Conversion Of Residential Building/Space,11434
DOHMH,Department of Health and Mental Hygiene,BRONX,Building (Non-Residential),PROSPECT AVENUE,Non-Residential Heat,Inadequate or No Heat,10459
DSNY,Department of Sanitation,BROOKLYN,Comercial,DAHILL ROAD,Graffiti,Graffiti,11204
DOB,Department of Buildings,BRONX,,COMMONWEALTH AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,10473
DOB,Department of Buildings,QUEENS,,149 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11422
DOB,Department of Buildings,QUEENS,,125 STREET,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11419
DOHMH,Department of Health and Mental Hygiene,MANHATTAN,Building (Non-Residential),HUBERT STREET,Non-Residential Heat,Inadequate or No Heat,10013
DOB,Department of Buildings,QUEENS,,84 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11414
DSNY,Department of Sanitation,BRONX,Mixed Use,SOUTHERN BOULEVARD,Graffiti,Graffiti,10455
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,CLINTON STREET,Graffiti,Graffiti,10002
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,ORCHARD STREET,Graffiti,Graffiti,10002
DSNY,Department of Sanitation,QUEENS,Mixed Use,DITMARS BOULEVARD,Graffiti,Graffiti,11105
DSNY,Department of Sanitation,BRONX,Mixed Use,CONCORD AVENUE,Graffiti,Graffiti,10455
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,CLINTON STREET,Graffiti,Graffiti,10002
DSNY,Department of Sanitation,BRONX,Comercial,GRANT AVENUE,Graffiti,Graffiti,10456
DOB,Department of Buildings,BROOKLYN,,HEGEMAN AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11208
DOB,Department of Buildings,QUEENS,,93 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11369
DOB,Department of Buildings,BROOKLYN,,SHEFFIELD AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11207
DOB,Department of Buildings,BROOKLYN,,74 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11228
DSNY,Department of Sanitation,QUEENS,Comercial,QUEENS BOULEVARD,Graffiti,Graffiti,11104
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,BROOME STREET,Graffiti,Graffiti,10013
DSNY,Department of Sanitation,BRONX,,EAST  241 STREET,Graffiti,Graffiti,10466
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,AVENUE D,Graffiti,Graffiti,10009
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,HOOPER STREET,Graffiti,Graffiti,11211
DSNY,Department of Sanitation,BRONX,,West 178th Street,Graffiti,Graffiti,
DSNY,Department of Sanitation,BRONX,,EAST  213 STREET,Graffiti,Graffiti,10467
DSNY,Department of Sanitation,BRONX,Residential,GRAND CONCOURSE,Graffiti,Graffiti,10451
DSNY,Department of Sanitation,BRONX,,JOHNSON AVENUE,Graffiti,Graffiti,
DSNY,Department of Sanitation,MANHATTAN,Comercial,PIKE STREET,Graffiti,Graffiti,10002
DSNY,Department of Sanitation,BROOKLYN,,THOMAS BOYLAND STREET,Graffiti,Graffiti,
DOHMH,Department of Health and Mental Hygiene,BROOKLYN,Building (Non-Residential),VANDERBILT AVENUE,Non-Residential Heat,Inadequate or No Heat,11238
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,6 AVENUE,Graffiti,Graffiti,11215
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,EAST   13 STREET,Graffiti,Graffiti,11229
DOB,Department of Buildings,QUEENS,,MAIN STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11354
DOB,Department of Buildings,QUEENS,,105 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11435
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BRONX,Comercial,SOUTHERN BOULEVARD,Graffiti,Graffiti,10455
DSNY,Department of Sanitation,BRONX,Comercial,OAK POINT AVENUE,Graffiti,Graffiti,10474
DOB,Department of Buildings,BRONX,,LOUIS NINE BOULEVARD,Building/Use,Illegal Conversion Of Residential Building/Space,10459
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10040
DSNY,Department of Sanitation,MANHATTAN,Comercial,LENOX AVENUE,Graffiti,Graffiti,10037
DEP,Department of Environmental Protection,BRONX,,ELLSWORTH AVENUE,Water System,Leak (Use Comments) (WA2),10465
DEP,Department of Environmental Protection,MANHATTAN,,WADSWORTH AVENUE,Water System,Dirty Water (WE),10033
DOHMH,Department of Health and Mental Hygiene,BRONX,Building (Non-Residential),EAST 169 STREET,Non-Residential Heat,Inadequate or No Heat,10456
DOB,Department of Buildings,QUEENS,,ROOSEVELT AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11354
DOT,Department of Transportation,BROOKLYN,Highway,,Highway Sign - Missing,Exit/Route,
DOT,Department of Transportation,Unspecified,Terminal,,Ferry Complaint,Homeless Issue,
FDNY,FDNY,Unspecified,,,Agency Issues,Compliments,
DOE,School - PS 340,Unspecified,School,,School Maintenance,Snow/Ice,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
NYPD,New York City Police Department,BROOKLYN,Residential Building/House,VERMONT STREET,Noise - Residential,Loud Music/Party,11207
DCP,DCP,Unspecified,,,Research Questions,Zoning and Land Use Questions/Information,
DPR,Department of Parks and Recreation,MANHATTAN,Park,,DPR Internal,Aided/Injury,10011
DSNY,Department of Sanitation,MANHATTAN,,PRINCE STREET,Graffiti,Graffiti,10012
DEP,Department of Environmental Protection,QUEENS,,131 STREET,Water Conservation,Illegal Use Of A Hydrant (CIN),11418
DEP,Department of Environmental Protection,MANHATTAN,,W BROADWAY,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,MANHATTAN,,W 38 ST,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,MANHATTAN,,6 AVE,Water System,Possible Water Main Break (Use Comments) (WA1),10014
DSNY,Department of Sanitation,BRONX,,WHITEPLAINS ROAD,Graffiti,Graffiti,10466
DEP,Department of Environmental Protection,MANHATTAN,,WEST  174 STREET,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,BROOKLYN,,HOMECREST AVE,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11235
DEP,Department of Environmental Protection,MANHATTAN,,WEST  188 STREET,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,PARK TERRACE EAST,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BRONX,,HATTING PLACE,Sewer,Street Flooding (SJ),10465
DEP,Department of Environmental Protection,BRONX,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BROOKLYN,,EAST   74 STREET,Lead,Lead Kit Request (Residential) (L10),11234
DEP,Department of Environmental Protection,MANHATTAN,,SEAMAN AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,QUEENS,,229 STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11364
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10003
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10025
DEP,Department of Environmental Protection,MANHATTAN,,ELLWOOD STREET,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,BROOKLYN,,WITHERS STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11211
DEP,Department of Environmental Protection,BROOKLYN,,15 STREET,Lead,Lead Kit Request (Residential) (L10),11215
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,STATEN ISLAND,,DUNCAN STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),10304
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10003
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10314
DEP,Department of Environmental Protection,MANHATTAN,,WEST END AVENUE,Sewer,Manhole Cover Missing (Emergency) (SA3),10023
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10301
DEP,Department of Environmental Protection,BRONX,,EAST  180 STREET,Sewer,Sewer Backup (Use Comments) (SA),10460
DEP,Department of Environmental Protection,BROOKLYN,,ADAMS STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11201
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10304
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11423
DEP,Department of Environmental Protection,BROOKLYN,,EAST    7 STREET,Water System,Hydrant Running (WC3),11218
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,QUEENS,,36 AVENUE,Sewer,Sewer Backup (Use Comments) (SA),11361
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10312
DEP,Department of Environmental Protection,BROOKLYN,,ST JOHNS PLACE,Lead,Lead Kit Request (Residential) (L10),11216
DEP,Department of Environmental Protection,BROOKLYN,,PINE STREET,Water System,Leak (Use Comments) (WA2),11208
DEP,Department of Environmental Protection,MANHATTAN,,WEST  218 STREET,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,WEST  160 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,MANHATTAN,,WEST  173 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BROOKLYN,,MONTGOMERY STREET,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11225
DEP,Department of Environmental Protection,MANHATTAN,,6 AVENUE,Water System,Leak (Use Comments) (WA2),10014
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11414
DEP,Department of Environmental Protection,BROOKLYN,,AVENUE S,Water System,Other Water Problem (Use Comments) (WZZ),11229
DEP,Department of Environmental Protection,MANHATTAN,,WEST END AVENUE,Sewer,Manhole Cover Missing (Emergency) (SA3),10024
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11208
DEP,Department of Environmental Protection,QUEENS,,131 STREET,Water System,Hydrant Knocked Over/Missing (WC),11418
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10019
DEP,Department of Environmental Protection,STATEN ISLAND,,VICTORY BOULEVARD,Sewer,Manhole Cover Missing (Emergency) (SA3),10301
DEP,Department of Environmental Protection,MANHATTAN,,DONGAN PLACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,SEAMAN AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,WEST  180 STREET,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,MANHATTAN,,WEST  178 STREET,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,MANHATTAN,,WEST  163 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BRONX,,THIERIOT AVENUE,Water System,Hydrant Knocked Over/Missing (WC),10460
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11203
DEP,Department of Environmental Protection,MANHATTAN,,BARROW STREET,Lead,Lead Kit Request (Residential) (L10),10014
DEP,Department of Environmental Protection,QUEENS,,59 DRIVE,Water System,NO WATER - WNW,11378
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11208
DEP,Department of Environmental Protection,BRONX,,WESTCHESTER AVENUE,Water System,Hydrant Running (WC3),10459
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10014
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11201
DEP,Department of Environmental Protection,MANHATTAN,,,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,PINEHURST AVENUE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10309
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,STATEN ISLAND,,FATHER CAPADANO BLVD,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BRONX,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10460
DEP,Department of Environmental Protection,BRONX,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10460
DEP,Department of Environmental Protection,MANHATTAN,,WEST   34 STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),10001
DEP,Department of Environmental Protection,BROOKLYN,,CROWN STREET,Lead,Lead Kit Request (Residential) (L10),11225
DEP,Department of Environmental Protection,BROOKLYN,,ELDERT LANE,Sewer,Manhole Cover Missing (Emergency) (SA3),11208
DEP,Department of Environmental Protection,MANHATTAN,,PAYSON AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BROOKLYN,,JEFFERSON AVENUE,Water Quality,"Taste/Odor, Musty/Stale (QA4)",11216
DEP,Department of Environmental Protection,QUEENS,,206 ST,Sewer,Manhole Cover Missing (Emergency) (SA3),11360
DEP,Department of Environmental Protection,MANHATTAN,,WADSWORTH TERRACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BROOKLYN,,80 STREET,Water System,Leak (Use Comments) (WA2),11228
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BROOKLYN,,18 AVENUE,Water System,Hydrant Defective (WC2),11218
DEP,Department of Environmental Protection,QUEENS,,HARRY DOUGLAS WAY,Water System,NO WATER - WNW,11434
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,BROOKLYN,,EAST    8 STREET,Water System,Dirty Water (WE),11218
DEP,Department of Environmental Protection,MANHATTAN,,RIVERSIDE DRIVE,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BROOKLYN,,18 AVENUE,Water System,Dirty Water (WE),11218
DEP,Department of Environmental Protection,STATEN ISLAND,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,MANHATTAN,,LAUREL HILL TERRACE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Hazardous Materials,Chemical Spill/Release (HA1),10040
DEP,Department of Environmental Protection,QUEENS,,109 AVENUE,Water System,LOW WATER PRESSURE - WLWP,11420
DEP,Department of Environmental Protection,MANHATTAN,,RIVERSIDE DRIVE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,BROOKLYN,,63 STREET,Water Conservation,Illegal Use Of A Hydrant (CIN),11204
DEP,Department of Environmental Protection,QUEENS,,113 STREET,Water System,NO WATER - WNW,11418
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11220
DEP,Department of Environmental Protection,MANHATTAN,,BROADWAY,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,ACADEMY STREET,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,FT WASHINGTON AVENUE,Lead,Lead Kit Request (Residential) (L10),10040
DEP,Department of Environmental Protection,BROOKLYN,,KINGS HIGHWAY,Water System,Hydrant Defective (WC2),11234
DEP,Department of Environmental Protection,MANHATTAN,,WEST   36 STREET,Water System,NO WATER - WNW,10018
DEP,Department of Environmental Protection,STATEN ISLAND,,KENMORE STREET,Water System,Leak (Use Comments) (WA2),10312
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10004
DEP,Department of Environmental Protection,BRONX,,WICKHAM AVENUE,Water System,Hydrant Leaking (WC1),10469
DEP,Department of Environmental Protection,MANHATTAN,,WEST  214 STREET,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,BROOKLYN,,AVENUE U,Sewer,Manhole Cover Broken/Making Noise (SB),11229
DEP,Department of Environmental Protection,MANHATTAN,,HILLSIDE AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BRONX,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10451
DEP,Department of Environmental Protection,MANHATTAN,,WEST BROADWAY,Water System,Hydrant Knocked Over/Missing (WC),10012
DEP,Department of Environmental Protection,STATEN ISLAND,,8 STREET,Sewer,Sewer Backup (Use Comments) (SA),10306
DEP,Department of Environmental Protection,QUEENS,,42 STREET,Lead,Lead Kit Request (Residential) (L10),11103
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,BROOKLYN,,FOURTH AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,BROOKLYN,,MONROE PLACE,Water System,Dirty Water (WE),11201
DEP,Department of Environmental Protection,MANHATTAN,,EAST BROADWAY,Sewer,Manhole Cover Missing (Emergency) (SA3),10002
DEP,Department of Environmental Protection,BROOKLYN,,GOLD STREET,Lead,Lead Kit Request (Residential) (L10),11201
DEP,Department of Environmental Protection,BROOKLYN,,AVENUE D,Sewer,Manhole Cover Missing (Emergency) (SA3),11236
DEP,Department of Environmental Protection,QUEENS,,149 STREET,Water System,Leak (Use Comments) (WA2),11357
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10019
DEP,Department of Environmental Protection,BRONX,,EAST  180 STREET,Sewer,Sewer Backup (Use Comments) (SA),10460
DEP,Department of Environmental Protection,MANHATTAN,,11 AVENUE,Sewer,Manhole Cover Missing (Emergency) (SA3),10011
DEP,Department of Environmental Protection,STATEN ISLAND,,JEROME ROAD,Sewer,Manhole Cover Missing (Emergency) (SA3),10305
DEP,Department of Environmental Protection,MANHATTAN,,YORK AVENUE,Water System,Leak (Use Comments) (WA2),10021
DEP,Department of Environmental Protection,BROOKLYN,,SCHERMERHORN STREET,Lead,Lead Kit Request (Residential) (L10),11201
DEP,Department of Environmental Protection,MANHATTAN,,WEST  173 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,QUEENS,,87 STREET,Industrial Waste,Gasoline Spill (IAA),11417
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11435
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),
DEP,Department of Environmental Protection,QUEENS,,58 AVENUE,Lead,Lead Kit Request (Residential) (L10),11368
DEP,Department of Environmental Protection,MANHATTAN,,WEST  169 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BROOKLYN,,86 STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11209
DEP,Department of Environmental Protection,MANHATTAN,,8 AVENUE,Sewer,Manhole Cover Missing (Emergency) (SA3),10011
DEP,Department of Environmental Protection,BROOKLYN,,HICKS STREET,Sewer,Manhole Cover Broken/Making Noise (SB),11201
